,customer_id,recency,frequency,monetary,R_quartile,F_quartile,M_quartile,RFM
0,12346.0,325,2,2.08,4,3,4,434
1,12347.0,1,7,481.21,1,1,1,111
2,12348.0,74,4,178.70999999999998,3,2,2,322
3,12349.0,18,1,605.1,2,4,1,241
4,12350.0,309,1,65.3,4,4,3,443
5,12352.0,35,11,2211.1000000000004,2,1,1,211
6,12353.0,203,1,24.299999999999997,4,4,4,444
7,12354.0,231,1,261.21999999999986,4,4,2,442
8,12355.0,213,1,54.650000000000006,4,4,3,443
9,12356.0,22,3,188.86999999999995,2,3,2,232
10,12357.0,32,1,438.6699999999994,2,4,1,241
11,12358.0,1,2,157.21000000000004,1,3,2,132
12,12359.0,7,6,2225.110000000001,1,1,1,111
13,12360.0,51,3,457.9100000000001,3,3,1,331
14,12361.0,286,1,33.35,4,4,4,444
15,12362.0,2,13,1083.2900000000002,1,1,1,111
16,12363.0,109,2,53.17000000000001,3,3,3,333
17,12364.0,7,4,162.3699999999997,1,2,2,122
18,12365.0,290,3,698.0,4,3,1,431
19,12367.0,3,1,35.2,1,4,4,144
20,12370.0,50,4,467.6499999999999,3,2,1,321
21,12371.0,44,2,244.08000000000004,2,3,2,232
22,12372.0,71,3,156.07000000000005,3,3,2,332
23,12373.0,310,1,64.14999999999999,4,4,3,443
24,12374.0,24,1,139.25,2,4,2,242
25,12375.0,2,3,119.6,1,3,3,133
26,12377.0,314,2,209.3499999999999,4,3,2,432
27,12378.0,129,1,656.44,3,4,1,341
28,12379.0,81,3,116.60000000000007,3,3,3,333
29,12380.0,21,5,355.6299999999999,2,2,1,221
30,12381.0,4,6,417.03999999999985,1,1,1,111
31,12383.0,184,6,309.3599999999999,4,1,1,411
32,12384.0,28,3,227.26999999999998,2,3,2,232
33,12386.0,337,2,23.91,4,3,4,434
34,12388.0,15,6,277.76999999999987,1,1,2,112
35,12390.0,79,1,127.90000000000002,3,4,3,343
36,12391.0,21,1,245.99000000000004,2,4,2,242
37,12393.0,71,4,145.90000000000006,3,2,2,322
38,12394.0,63,2,91.01,3,3,3,333
39,12395.0,15,15,629.5899999999999,1,1,1,111
40,12397.0,35,2,436.99999999999955,2,3,1,231
41,12398.0,45,1,169.38000000000005,2,4,2,242
42,12399.0,118,4,124.75999999999999,3,2,3,323
43,12401.0,302,1,48.4,4,4,4,444
44,12402.0,322,1,36.199999999999996,4,4,4,444
45,12403.0,49,2,53.400000000000006,2,3,3,233
46,12405.0,148,1,191.39000000000001,4,4,2,442
47,12406.0,21,3,305.98999999999995,2,3,1,231
48,12407.0,49,5,251.58999999999995,2,2,2,222
49,12408.0,32,9,353.4799999999998,2,1,1,211
50,12409.0,78,7,402.0399999999999,3,1,1,311
51,12410.0,300,3,176.97000000000003,4,3,2,432
52,12412.0,74,3,165.54000000000002,3,3,2,332
53,12413.0,66,5,210.28999999999996,3,2,2,322
54,12414.0,216,3,154.26000000000002,4,3,2,432
55,12415.0,23,26,2499.820000000003,2,1,1,211
56,12417.0,2,12,1074.230000000001,1,1,1,111
57,12418.0,112,1,121.19000000000004,3,4,3,343
58,12420.0,63,1,136.51000000000002,3,4,2,342
59,12421.0,15,5,204.18,1,2,2,122
60,12422.0,95,3,127.15000000000002,3,3,3,333
